sentence,overall
"Nói chung là hàilòng! Giá[16,24,p] tốt so với thị trường nếu mình add thêm km thẻHsbc. Trên description ghi là đời mới ko sạc koearphone, ai dè giao về còn full phụ kiện mừnghúm. Máy mua nay đc hơn 2 tuầnrồi, chưa có vđềj. Mình đặt giao hàng nhanh nên ko bị trục trặc jhết. Nói chung toẹt zời ông mặt trời nha mấychế. À nhắc các bạn đã đc update sim 4g mới của mobiphone thì đi thay phôi sim mới ko thì bị nóng máy khi update lên ios 14 ạ",p
"Hàng[0,3,p] mới100% chính hãngVN/A. Đóng gói[36,43,p] cẩnthận, có dán tem hàng dễ vỡ ngoàihộp. Nhân viên giao hàng[95,113,p]tốt, nhiệttình. Kích hoạt máy báo bảo hành đúng 1 năm kể từ ngày nhậnmáy.",p
"Chọn tiki khi mua hàng giá trị cao hay đồ công nghệ luôn làm mình cảm thấy yêntâm. Nhanhchóng, tiệnlợi, có mã xác thực qua tin nhắn để nhận hàng giá trị",
"Đã nhận hàng đúng như đãxem. Chất lượng[29,38,p]tốt, đóng giói[53,61,p] cẩnthận. Rất vui khi nhận đuọc hàng đúng như Tiki chàobán. Sẻ ủng hộ lầnsau.",p
"1 sao choNJV, 1 sao cho Tiki về cách xử lý rườm rà và ko hề có cách giải quyết nàocả, 1 sao cho việc mình tới bưu cục NJV và thấy hàng điện thoại[135,144,neg] của mình nằm trong hộp nhàunát, ẩm ướt và nằm trong đống hàng vứt xó dướiđất. Super thất vọng về dịch vụ của Tiki lầnnày. Chắc tôi sẽ tạm ngưng Tiki 1 thời gian vì tâm trạng ko hề vui sau khi đặt 1 món hàng giá trị nhưng lại phải đi gọi đt liêntục, hỏihan, bất an chờ đợi mà ko đc bên Tiki cập nhật bất cứ thông tin gì trên app trong 1 thời giàn dài gần 2tháng.",neg
"Hàng mới nguyênseal. Giao hàng[21,29,p] nhanh và đóng gói[49,56,p] cẩnthận.",p
Ok. Mua 2 cái làm quá thưởngNV1.,
"Mua tặngBa, nhu cầu dùng của Ba chỉ dừng ở nghe gọi nhắntin, xem tin tức và chơiSodoku. Dư đápứng, đủ hài lòng vì Bathích. Cám ơn Tiki đã giao đúngngày, đúnghàng, đúngmàu. PS: mình check bảo hành hãng(Repairs and ServiceCoverage) thì còn đúng 364 ngày:)",
" Giao hàng[6,9,p][1,9,p]nhanh, hàng chính hãng nguồn nhậpFPT, rất yên tâm khi mua hàng của tiki",p
"từ khi biết tiki.mua hàng toàn bộ trên tiki gần 3namrồi. sản phẩm[57,64,p] chất lượng chínhàng. ma con rẻ hơn điện máyxanh.va FPTshop.đien máy chợ lớn nữa",p
"Điện thoại[0,9,p] dùng kháổn, nghe gọi[30,37,neu]to, rõràng, màu sắc màn hình[69,76,neg][61,76,p] nhìn rõ đượcchữ. Điẻm trừ khiến mình không để 5 sao cho sản phẩm này vì điện thoại không hỗ trợ khe cắm thẻnhớ, màn hình bị khuyếttật, ung thư mànhình, thật không thể tin một chiếc điện thoại hơn cục củ mà lại bị ung thư màn hình nhưvậy.",neu
"chơi game 2 tiếng nóngmáy, nghe mùi khét điện cùng lúcluôn, do hết hạn đổi trả 7 ngày nên ra trung tâm bảohành, người ta kêu hư phần chống làm nóngmáy, rồi lại ngồi đợi1-2 tuần ktra xem xét sữa chữa nữađây. mua về mới cầm trên tay dc 12 ngày thôi đó",
"Lúc đầu cũng đắn đo khi đặt mua online hàng điện tử lại còn đắt tiền như vậy nhưng nhận hàng đc kiểmtra.[100,103,p] Hàng chínhhãng, check thông tin[138,146,p] thấy đúnghàng. Mình dùng cũng được nửa nămrồi, sản phẩm[206,213,p] chấtlượng, pin[237,239,p]trâu. Nói chung nên mua",p
" Giao hàng[1,9,p] tốcđộ, đúng màu[30,32,p]sắc, máy[47,49,p] mới nguyênseal. Đã mua mấy món đồ điện tử của tikitrading, rất an tâm",p
"Tiki giao hàng[5,13,p]nhanh. Mình xài đc gần 1tuần. Đt[52,53,p] xàitốt,mượt, pin[77,79,neu]ok, sử dụng bth thì 2 ngày mới cầnsạc, còn có hôm mình sử dụng nhiều thì tầm 1 ngày là phảisạc. Sạc từ19-20% khoảng 2 tiếng rưỡi là đầy100%.",p
"Tiki giao hàng[5,13,p] siêunhanh, chưa đầy1h, hàng đóng gói[51,58,p] cẩnthận, mớitinh. Tuy là mẫu đã ra mắt lâu nhưng chất lượng vẫn hơn những máy android cùng giá",p
"Máy[0,2,neu] mới tinh nhé",neu
"Do dịch nên ship hơilâu. Nhưng có thể chủ động sang bên website của Giao hàng[73,76,p] nhanh để xem chi tiết quá trình vậnchuyển. Hộp bên ngoài[121,133,neg] của Tiki bị móp chắc bị nén hàng(bên ngoài códán: Hàng cực kỳ dễvỡ). Bên trong có vài tờ giấy ximăng, tuy hộp Iphone 11 cũng đã có 1 lớp chống sốc bêntrong. Check hàng chínhhãng. Lần đầu mua sản phẩm giá trị quá Tiki Trading thấy ok chấp nhậnđược.",neu
"Tiki giao hàng[5,13,p]nhanh, vừa đặt sáng hôm trước mà hôm sau đã giaorồi. Shipper cũng thân thiện hơn so với các đơntrước, chắc vì đơn này đắttiền. Đóng gói[149,156,p] cẩn thận có đệm nhiềugiấy. Hàng chuẩn FPT nguyên seal chưaactive. Nói chung là ok. Chỉ có điều mình phát hiện máy mình giữa màn hình[288,300,neu] có 1 hạt bụinhỏ, thấy trên mạng nói nếu bị bụi sẽ được 1 đổi1. Mình có nhắn cho Tiki và họ nói sẽ liên hệ với bên bộ phận hỗ trợ và gọi lại chomình. Đợi cả ngày mớigọi. Rồi hỏi mình sao lúc vừa nhận hàng không báongay, thái độ cũng không được vuilắm. Chính sách của Apple là 1 đổi 1 trong vòng 1 năm và của Tiki là đổi trả trong vòng 7ngày, hôm đó là ngày thứ 5 thì có gì không đúngđâu? Rồi kêu mình thoát icloud rồi sẽ có người lại thu máy về kiểmtra. Mình hỏi có được 1 đổi 1không, bên Tiki nói là để kiểm tra mới biết có đổikhông. Theo cách nói thì mình nghĩ không được đổi đâu vì nói vòng vo lắm và mình từng bị Tiki giao sách rách gởi đổi và Tiki giao mình lại ngay cuốnđó. Mình nói vậy thôi khỏiđi, bên kia mừng húm nói lỗi nhỏ xíu hà không saođâu. Thiết nghĩ tuy giá[1085,1087,neu] của Tiki ok nhưng bảo hành[1122,1129,neg] rất phiền phức vì nếu mình mua tại store FPT mình có thể đem lại đó bảo hành hay đổi trả gì đó nhưng mình chỉ là mua FPT được phân phối qua Tiki màthôi. Mình thấy có người cũng bị lỗi bụi màn hình mà mua tại FPT nên lại được đổingay, lúc đó đã xài được 2tuần. Nhưng mình không có hoá đơn mua hàng ởFPT.",neu
Bộ nhớ128gb. Hàng chuẩn Apple 👍👍👍,
"Máy chuẩn hàngVN/A. Tiki giao[25,28,p]nhanh. Đã mua điện thoại nhiều lần trên tiki và lần nào cũng rất ưng so và dịch vụ[113,119,p] củatiki. Giá[141,143,p] lại rẻ hơn so với mua ởshop.",p
" Điện thoại bên ngoài[1,20,neu] ok chưa sử dụng chưa biết",neu
"Sản phẩm[0,7,p]mới, nguyênseal, dù đắt hơn một vài store nhưng vẫn tin dùng tiki vì giao hàng[84,92,p]nhanh, gói hàng[109,116,p] kỹ không chỉ có seal của sản phẩm mà còn có tem của Tiki vô cùng an tâm:D",p
"Hàng[0,3,p]VN/A chínhhãng, kích hoạt bảo hành[37,44,p]chuẩn, máy màu[65,67,p] trắng trông rấtsang, 5 sao choTiki.",p
"Mình ởQ9, tiki giao hàng qua GHN hộp đóng gói[37,44,neg] mốpméo, đè bẹp dù bên ngoài có dán""HÀNG DỄVỠ"". rất quan ngại cho hàng bêntrong, may là khôngsao. Mình mua hàng từ tiki nhiều lầnrồi, mỗi lần qua GHN làthùng/Hộp bên ngoài đều biếndạng, TIKI nên làm việc lai với bênGHN, hoặc là tìm đối tác khác để giao hàngđi.",neg
"Hàng hẹn giao t5 mà t3 mình đã nhận đượcrồi. Máy[45,47,p] đúng chính hãng tra được thông tin bảo hành trênweb. Vận chuyển[111,120,neu] ok máy[138,140,neu] khámượt. Rất hài lòng 👍",p
Đẹp,
" Sản phẩm[1,8,p] chấtlượng, mới như môtả. Nhận sản phẩm rất ưngý. Giao[66,69,p] sản phẩm nhanhchóng. Lần đầu mua đồ điện tử nhưng rất hài lòng trêntiki.",p
"Trước giờ mình vẫn mua hàng Tiki và tintưởng. Lần này mua điện thoại giá trịlớn. Thấy các bạn cmt hàng ngon thế mình cũngmua. Vừa nhận hàng sáng nay mà ức hếtngười. - Kiểm tra imei của máy thì lỗintn. Không hề tồntại. Trước mình mua máy củafpt, sau 3 năm kiểm tra vẫn thấyoke. - Điện thoại thì đãactive. Thấy lần sạc cuối cùng là tháng 11 nămnay. - Hàng cũng k còn nguyên mà đã có người sờrồi - Kèm vào đó là ông anh Shipper rất vôduyên. Hàng người ta đã thanh toánrồi, giao thì giaom*đi, còn đứng đấyhỏi. Còn vô duyên chìa giá tiền cho mẹ mình xem kiểu hàohứng. Mà trong khi khách đã thanhtoán. Tọc mạch vô duyên hỏng hết việc ngườikhác. ĐỀ NGHỊ TIKI LIÊN HỆ LẠI SỚM ĐỔI TRẢ MÁY HÀNG CHUẨN CHOMÌNH. Trântrọng!",
"Tiki giao[5,8,neu] đúnghẹn, nhưng mà chờ hơi lâu xí(6 ngày từ HN vàĐắkN). Đóng gói[74,81,p]tốt. Sản phẩm iPhone thì khỏi chêr, có điều mình thiết lập máy mới xài 1 tí thấy hơi nóngnha! Cơ mà mình được giảm giá còn 14tr800thôi. Cám ơn Tikinhé!",p
"Tiki now đặt hàng 2 giờ saunhận, sản phẩm[33,40,p] chínhhãng, đóng gói[62,69,p] cẩnthận.",p
"Sản phẩm[0,7,p] đẹp cònseal, giao hàng[29,37,p]nhanh,...",p
"Dù mua hàng ol rất nhiều sàn TMDT khác nhau. Nhưng mỗi khi mua hàng giá trị đều muốn mua ở Tiki 😄 do tiki đóng gói[107,114,p] nên yên tâm hẳn, giao[144,147,p] đúng hẹn 👍🏻. Phần nữa bây giờ shipper bên tiki có thay đổi tốt, không còn kiểu nhá máy cho khách xong chưa bắt máy thì báo về hệ thống khách không nghe máy:))) bực việc này nên có 1 thời gian chán mua hàng bên tiki 😄😄. Giờ mua hàng bên tiki vui vẻ hơn rồi 👍🏻👍🏻 shipper giao hàng đúng hẹn 10 điểm. Máy đẹp 😗",p
"Hết xẩy nha anh chịem! Camera[23,28,p]đẹp, màn hình[43,50,p] siêuđẹp, cầm gọn không nặngtay, màu[93,95,p] trắng cũng đẹpcực! Tiki giao[130,133,p] nhanh hếthồn, giao hàng giá trị có mã OTP nhận rất yêntâm, hộp[205,207,p] cũng có chống sốc đầyđủ. Nói chung mua Tiki rấtsướng!",p
"Giao[0,3,p] rất nhanh trong sáng là đã nhậnđược. Hàng[49,52,p] rấtđẹp, màu[71,73,p] xanh trầm nhìn đẹplắm. Hàng nguyên sealluôn, máy ngoại hình[133,142,neu] nhìn qua thấyổn,đẹp. Xài tầm vài ngày nữa mới biết nhưng ban đầu thấy ok rồiđó. Tiki đóng gói[242,249,p] rất cẩnthận. Mình thấy rất hài lòng",p
"Điện thoại[0,9,p]đẹp, chắcchắn, có tem của tiki để kiểm tra đề phòng hàng bị đánhtráo, mọi người nên quay video khi khui hàng để đảm bảo lợi ích nếu có vấn đề xảyra. các t í khác của điện thoại mình k chuyên k đánh giáđược, trừ điểm đơn vị giaohàng, giao hàng[250,258,neg] chậmtrễ, trung chuyểnnhiều, hàng giá trịcao, dễ vỡ nên mình lo lắng nhiều",neu
"Giáo hàng[5,8,p][0,8,p] đúnghẹn, có gửi tin nhắn OTP trước khi giaohàng, đóng gói[66,73,p] cẩnthận, hàng mớiđẹp, nhân viên giao hàng[113,131,p] thânthiện, cám ơnshop, cám ơn Tiki",p
"Đóng gói[0,7,p] chắc chắn có bọc lớp giấy bìa ở ngoài và 1 lớp giấy bóng nilong ngoàihộp, sản phẩm[90,97,p] mới đẹp giá[116,118,p] rẻ hơn 1tr so với mua ở cells hoặc mấy chỗkhác, giao[179,182,p]nhanh, bảo mật khi giao hàng khi gửi mã về cho khách hàng",p
"Tiki có hệ thống vậnchuyển, shipper riêng nên khi đặt hành điện tử giá trị cao rất yêntâm. Không lo tráohàng, nhận hàng phải cóotp. Đặt hành lúc 22hkhuya, hôm sau sáng 9h30 đã nhậnđược. Gói[186,188,p] băng keokỹ, sp được niêm phong thêm bằng keo củatiki, nếu đã bị gỡ là biếtngay. Nguyênseal,phụ kiện, bảo hành[292,309,p] đầyđủ. Màu[329,331,p] hồng trên thị trường hiếm với mắc hơn các màu còn lại tầm1-2tr nhưng trên tiki same samenhau. Đã v trả góp không tốn đồng phínào. Màu hồng siêu cưng luôn ámng, dùng được 2 tuầnrồi, check máy chính hãng bảo hành đầy đủnhe.",p
"Điện thoại[0,9,p]đẹp, màu[22,24,p] sang lắmluôn. Tiki bảo mật[54,60,p] khi mua hàng tốt và vận chuyển[91,100,p] rấtổn. Mình có check cover dt chưa active và bắt đầu kích hoạt bảo hành ngay khi mình activemáy. Chất lượng[209,218,neu]oke. 10 điểm cho Tiki ♥️",p
"Về chất lượng máy[14,16,p] thì chưa sử dụng nên chưa biếtntn. Nhưng khi nhận máy thì ối dồiôi:)) máy hơn 20 củ mà tiki đóng gói[110,117,neg] chán quácơ. Hộp thì to lắc lắc lắc bên trong có tý giấy vụnthôi. Mở ra thì hộp máy[207,213,neg] bịmóp. Mình có cả video mà ko đăngđược. Nhưng mở máy ra thì okie ko có viết xước cũng như tem cònnguyên. Trừ 1 sao phần vận chuyển",neg
"Tiki giao hàng[5,13,p] trước dựkiến, tuy nhiên đóng gói hàng[47,59,neg] không tốt đối với sản phẩm đắttiền. Chỉ có 2 miếng giấy lót trên dưới rấtẩu, mà không có xốp cố định sản phẩm để tránh vađập. Nilon bọc ngoài điện thoại cũng không phải là loại nilon hạn chế vađập, bọc vô cùng sơsài. Nói chung khá thất vọng về cách đóng gói sản phẩm có giá trị như vậy củaTiki.",neg
"- đóng gói[2,9,p] cẩnthận - hàng[29,32,p] nguyênseal, chínhhãng. đã mua nhiều thiết bị điện tử trên tiki với địa chỉ nhận hàngHCM,HN, NghệAn, HảiPhòng, Đồng Nai và đều rất hài lòng",p
"Tiki giao[5,8,p] nhanh thần tốc luônạ, mình đặt 10h30 đến 13h kém 10 giaorồi, trước khi tài xế đến Tiki sẽ gửi đến điện thoại bạn mãOTP, đọc đúng mới nhận hàngđược, mình đợi 0H12/12 để săn mã 1tr2 nhưng app Tiki lag quá đành đợi sáng 10H sáng back lạimã, nhưng vào không thấy mã đâu cả:))) thế là mình mua 13 256G giá 23990 áp được mã giảm 400k và trong vòng 45 ngày được hoàn vào thẻ Sacombank Tiki 3trnữa! Lần đầu mua đồ giá trị cao trên Tiki cũng lo nhưng may mắn mình có trải nghiệm kháok! Mong Tiki khắc phục tình trạng quá tải khi đến giờ sale ^^",neu
"Rất hài lòng vềTiki, giao hàng[26,29,p][21,29,p]nhanh, hàng chuẩn chínhhãng. Đã từng mua Iphone trên Tiki và giờ thêm một lần nữa đặt niềm tin ởTiki, và dĩ nhiên là Tiki ko làm mình thấtvọng. Cảm ơn các bạn rấtnhiều!",p
"Điện thoại[0,9,p] đẹp lắm nhamn, cầm thíchlắm. Đặc biệt màu[56,58,neu] xanh lá hợp với các bạn mạng mộc và mạng kimnha. Cầm chắc tay và cảm giác đập hộp rất ư là vui nhé mọingười. Còn có mã Cod nhậnhàng, rất chuyên nghiệp",neu
"Tiki giao[5,8,p] siêu tốc rấtnhanh. Đặt lúc 9h thì tầm 11h nhận đượchàng. Mã chuẩnVN/A Giá gốc22,250k thêm voucher moca 1tr5 và shopback hoàn thêm 620k thì mình mua với giá[169,171,p] tầm 20tr2 khá hời so với ởstore. Đt[217,218,p]mượn, pin[236,238,p] lâu hết",p
"mua 1 chiếc điện thoại yêu thích nhưng nó bị lỗisơn, nhận hàng vào buổi chiều ngày10, cảm giác ban đầu rất vui rất thích vậy mà tới tối ngày 7 thì phát hiện dưới camera[162,167,neg] nó 1 đốm trắng nhỏ như chân kim thế mà tưởng bụi sáng vệ sinh lại thì nó lan ra như trốcsơn, thì ra ngày 8 mấtrồi, báo lại Tiki thì đại diện kỹ thuật Tiki hướng ra TTBH Apple kiểm tra mà cũng không check lại ngoại quang kỹ thuật có nhận check lỗi hay ko hoặc xin hình ảnh sảnphẩm, vậy đó mà cũng nghe lời chạy ra TTBH xong không 1 ai dám nhận kiểm tra vì ngoại quang không thuộc bảohành, nhưng được cái là kỹ thuật tại đây nhìn thì có chia sẻ khó có thể do người dùng vì nếu làm trầy thì trầy luôn camerarồi, kêu mang về chổ mua để được hỗtrợ, thế là mình báo lại psc xong cũng có bạn gọi lại tư vấn là phần này bên TTBH họ không nhận đâuanh, quay lại cái bạn ban đầu kêu mang ra kiểm tra thì lại mâuthuẩn, rồi giờ không hỗ trợ đổi sản phẩm với lý do quá thờihạn, thật sự buồn vì 1 trãi nghiệm muasắm.",neg
"Tiki giao hàng[5,13,p]nhanh. Sản phẩm[29,36,p] chính hãngvn/a. Giá[63,65,p]tốt, có thêm chương trình giảm nhờ mua hàng qua thẻ tíndụng. Iphone 13 tốc độ[146,151,p]nhanh, camera[170,175,p] chụpđẹp, lựa chọn phù hợp túitiền, đầy đủ công nghệ[230,238,p]mới. Xứng đáng nâng cấp nếu đang dùng bản iPhone X hoặc cũhơn.",p
"Hàng mua bị lỗi Reset counter và panic full sau 3 ngàydùng. Gọi lên tiki để đổi trả thì bị bên GHN không chấp nhận thu hồihàng, tiki làm việc lại với bên GHN 7 ngày thì cũng chả được rồi phải làm khách hàng đợi thêm 7 ngày nữa để làm việc lại với bên vận chuyểnkhác. Tới lúc thu hồi được hàng thì báo đổi mới nhưng do hết hàng nên muốn hoàn tiền cho mình nhưng mình khôngchịu, nhưng trong khi mình lên tiki xem thì thấy vẫn cònhàng??? Rồi phải gọi lần nữa thì mới chịu đổi cho cáimới. Chung quy lại hậu mãi tiki quá thấtvọng, chỉ vì lỗ hổng bộ phận mà làm ảnh hưởng khách hàng quá nhiều và cũng chẳng có hướng xử lý nào cụ thểcả. Như kiểu kh muốn đổi cho KHvậy. Quá thấtvọng!",
"Rất ưngluônnnnnnnnnnnnnnnnnnnn! Đáng mua lắmnhé, phải mua trên Tikiạ!💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜",
"Ban đầu định mua ở mấy cửa hàng điện máy cho yên tâm rồi nhưng vẫn ưu tiên mua trên Tiki hơn mặc dù các sàn TMĐT khác giá có tốt hơnTiki. Lúc mua về có hơi trục trặc về dây sạc do mình không biết khác đầu sạc tưởng hỏng:)). Các bạn cskh[232,235,p] hỗ trợ khá nhiệt tình để mình liên hệ với bênhãng. Mua quà Tiki được hoàn tiền qua thẻ tín dụng nữa nên lần sau vẫn ưu tiên mua hàng quađây.",p
"iPhone13. Hệ thống camera[10,24,p] kép tiên tiến nhất từng có trêniPhone. Chip[74,77,p] A15 Bionic thầntốc. Bước nhảy vọt về thời lượngpin. Thiết kế[140,147,p] bềnbỉ. Mạng[167,170,p] 5G siêu nhanh(1). Cùng với màn hình[210,217,p] Super Retina XDR sánghơn. Tính năng nổibật • Màn hình Super Retina XDR6.1 inch(2) • Chế độ Điện Ảnh làm tăng thêm độ sâu trường ảnh nông và tự động thay đổi tiêu cự trongvideo • Hệ thống camera kép tiên tiến với camera Wide và Ultra Wide12MP; Phong Cách NhiếpẢnh, HDR thông minh thế hệ4, chế độ BanĐêm, khả năng quay video",p
"Mới mở hộp màu hồng check cổng sạc[26,33,neg] thấy bị trầy nhưvầy, hơi thất vọng ko bằng iphone 11 mình mua năm trước ko bị trầy gì hết",neg
"Hàng[0,3,neg] không còn nguyên seal bộc nilông. Là như thế nàovậy, giải thích hộ vì không chat cho tikitradingđược. Vô cùng khó chịu với cách giaohàng, Đối tác Best Express nguyên 1 đống hàng dễ vỡ ngỗn ngang trong thùng và nhân viên đi giao còn không biết mình được đi giao hàng giá trị lớn và bối rối khi biết có Ip13 trong thùnghàng. Giao hàng[338,346,neg] trễ 2ngày. Thất vọng vềTiki, từ đợt11.11 thì giao hàng trễ 1tháng. Tạm biệt Tiki",neg
"Màu hồng khá hiếm trên thị trường nên mình quyết định đặtTiki. Mình đặt giá 24tr490 giảm Moca 1tr5 và dc hoàn tiền Shopback3%(~690k) nên giá mua em nó khoảng 22tr3(Giá[163,166,p] cũng khá mềm trên thị trường đối với màuPink). Check emei web apple thi cungok. Giao hàng tầm 6ngày, do mình đặt ở HCM giao từHN. Nói chung khá hàilòng.",p
"Điện thoại[0,9,p]đẹp,sang, xịnmịn, màu[35,37,p] rấtđẹp. Mình có tham khảo giá bán của một số nơi khác nhưng Tiki vẫn rẻhơn. Mua từ tiki trading thì còn gì yên tâmbằng. Giao nhận[168,176,p] nhanh và rất cẩn thận xác minh số code nhậnhàng.",p
"Săn sale black friday nên mua được giá[35,37,neu] hợplý, Tiki now nên ship rấtnhanh, tầm 1 giờ hơn là nhận được sảnphẩm…vì mua sản phẩm online có giá trị tiền cao nên cũng hơi lo nhưng Tiki bảo mật[190,196,p] trong khâu vận chuyển khátốt. Còn sản phẩm đang dùng nên chưa có đánh giáđược, nói chung hiện tại dùngổn…hàng chínhhãng.",p
"Đóng gói[0,7,p] ổnđẹp, ship riêng đồng kiểm phải có mã otp mới nhậnđược. iOS16.4 lun 🤓",p
Sau 2 lần mua iphone trên Tiki thì thực sự mình cảm thấy quá yêntâm. Chỉ có thể nói là tuyệtvời! Sử dụng máy sau 5 ngày mọi thứ đều hoànhảo. Cảm ơnTiki!,
"Đóng gói[0,7,p] cẩnthận, giao hàng[25,33,neg][25,33,p]nhanh, ở Vĩnh Phúc đặt tối hôm trước sáng hôm sau nhậnđược. Tiki trading chất lượng không vấn đềgì. Nhưng lần này tiki giao hàng ẩu quáạ, shipper không gọi cho mình mà đưa cho cháu mình(7tuổi)@@ mong tiki cẩn thận hơn với đơn hàng điện tử 0 đồng giá trịcao.",neu
"Đã nhận hàng sau 1 ngày đặthàng. Lần đầu mua hàng điện tử giá trị cao tạiTiki, tạm hài lòng về dịch vụ[95,101,neu] và antâm. Sẽ trải nghiệm và đánh giá chất lượng sau 😌😊",neu
"Lần đầu mua hàng giá trị cao trên sàn TMĐT nên runlắm. Nhưng thấy review khá tốt với lại Tiki cũng chuyên nghiệp nên yêntâm. Giao hàng[125,133,p] nhanh đúng nhưhẹn, đúng màu đãđặt. Hàng[181,184,p] chuẩnVNA, nguyên team nguyên seal chưaactive. Khi nhận hàng phải đọc đúng OTP mới đc nhậnmáy. Nói chung là rất hàilòng, mong máy sẽ sử dụng ngon nghẻ là Tết này vui lắm ^^",p
"Máy[0,2,p][0,2,p] rấtđẹp, năm nay cam[27,29,neu] sau tohơn, màu trắng sứ khác với trắng sữa của iphone 12 nămngoái. Máy giao khá nhanh dù được chuyển từ Hà Nộivào. Mua máy được áp mã 2tr của ngân hàng nữa nên giá[209,211,p] khátốt, lại còn được hoàn tiền từ ngân hàng và shopback nữa",p
"Mình mua hôm15/1 dc giảm tiki800k. Dc giá[38,40,p] rẻ nên mình rấtdui. Tin tưởngtiki. Giao từ hà nội vào tiền giang 5ngày. Do nhà mình mua tiki khá nhièu ngày2,3 đơn nên quen mặt ko cần mã gìhết. Theo mình đóng gói nên thêm mấy lớp nữa chochắc. Nói chung mìnhưng. Mn nên mua tiki nha uy tín chất lượng",p
"Shipper[0,6,p] cẩnthận, thânthiện. Săn sale + thanh toán Moka(-1tr500K) nên giá[76,78,p] ổnáp, giờ chờ xem shopback hoàn được bao nhiêu tiềnnữa! Có ib hỏi hóa đơn nhưng bên cskh báo do lúc mua mình không cung cấp thông tin xuất hđ nên không hỗ trợxuất, săn flashsale mà đâu để ý chitiết, không rõ Apple có cần hđ khi bảo hànhkhông?",p
"Giao hàng[0,8,p]nhanh, sản phẩm đóng[23,35,p] cẩnthận, sản phẩm giống miêutả. Mình mới mua đc 3tuần, tạm thời sử dụng thì chưa có vấn để gìcả.",p
"Tuyệt vời Giao hàng[6,19,p] nhanh Mua IP trên tiki tracking 2 lần rồi An toàn nhé",p
"giao hàng[0,8,p] rất nhanh chóng và đảmbảo. điện thoại được đóng gói[60,67,p] cẩn thận và kỹcàng, nhưng vừa đủ để unbox dễ dàng và thuậntiện. lần đầu tiên mình mua hàng điện tử giá trị cao trên sàn thương mại điện tử và mình bất ngờ về việc đặt hàng[241,248,p] dễ dàng và nhanh chóng như vậy",p
"Lần đầu mua iPhone trên Tiki lunđó! Săn sale được vocher1,2 triệu kháok! Các bạn tham khảo video chia sẻ kinh nghiệm săn sale của mình trên Kênh youtube Cọp Ú VLOG nha ^^",
"Mình mua với giá[13,15,p] tầm21.5tr. Lần đầu mình mua iPhone trênTiki, ban đầu hơi ngại nhưng thấy anh Hà Anh Tuấn làm đại diện nên mình tin tưởng mua á=)) giao hàng[147,155,p]nhanh, giátốt. Nếu thanh toán quaMoca, anh chị nhớ để tiền sẵn vào ví moca nha để được giảm1.5tr, mua Shopback để được hoàn3%(cái này mình thấy app SB nói v chứ mình chưa đượchoàn). Đặt 0h mà 10h sáng là nhận được máyrồi. Đóng gói[398,405,p] cẩnthận. Nói chung là mình rất hài lòng với dịch vụ củaTiki. Nhanh chóng không bắt mình chờ đợi trong vô vọng như một số chuỗi cửa hàng offline bênngoài.",p
"Lần đầu tiên mua điện thoại có giá trị cao ở sàn giao[49,52,p] dịch điện tử như thếnày. Qua giớithiệu, nên mua thử xem trải nghiệm thếnào. Kết quả là giao rấtnhanh, nguyên seal nguyên kiện",p
"Đặt trong 2h có ngay em nó lần đầu mua qua tiki quá là tiệnluôn, thấy mọi người đánh giá tốt nên cũng khá yên tâm",
"Tiki giao hàng[5,13,p] sớm hơn hẳn 5 ngày so với dựkiến. Hàng đóng gói[62,69,neu] cẩnthận, mình chỉ thắc mắc là tem niêm phong trên điện thoại sao lại là tem của Tiki chứ không phảiApple...",
"Mình đặt mua bằng thẻ visa lúc tối thứ5, hnay đãcó. Lần thứ 2 mua điện thoại trên tiki rất ưngý, tự bóc""tem"", tự active luônạ *ảnh chụp bởi con Huawei 4 nămtuổi, mua trên tiki:))",
"Luôn luôn tin tưởng thương hiệu TikiTrading để mua đồApple. Giao[60,63,p] nhanh chóng trong2h. Mình đã mua 4 iPhone(bao gồm 2 mẫu13), 1 iPad trong những năm gầnđây, rất hàilòng. Sản phẩm lần này vẫn là hàng[202,205,p] fullbox new seal như trước giờ nên rất yên tâm khi nhậnhàng.",p
"Mua lần đầu bắt đặt trc thì tiki không giao[39,42,p]hàng, cũng đợi mãi khiếu nại hoài mới được chấp nhận huỷ đơn để hoàntiền. Lần 2 có tiki now thì giao nhanhhơn. Nguyên seal chất lượng[175,184,neu]tốt. Up cái ảnh ko liên quan lắm nhưng mà đt đang dùng nên ko biết chụp ảnh sao:)",p
"iPhone 13 rất ổnáp, cầm nhẹ tay hơn 13 promax. Mình mua tặng bạn gái lễ thất tịch rất hợplý, bạn gái mình rất hài lòng về món quànày. Mua đồ điện tử trên mạng mình chỉ mua bêntiki, rất antâm, shipper lại rất dễ thươngnữa!! 5 sao chotiki.",
" Giao hàng[1,9,p] nhanh mặc dù đang trong kì nghỉtết. Đóng gói[54,61,p] cẩnthận. Hàng[81,84,p] nguyên seal apple chưa kíchhoạt.",p
